Question,Answer
What is admission process?,Apply online through college website
How to apply for admission?,Fill the online application form
What are hostel fees?,Hostel fees are ₹50000 per year
Is hostel available?,Yes hostel facility is available
What is exam schedule?,It is available on the portal
What are college timings?,9 AM to 4 PM
Where is college located?,Bhopal
What are the eligibility criteria for admission?,Eligibility depends on the course and minimum marks required
Can I change my course after admission?,Yes it may be possible within a limited time
Is there any entrance coaching provided?,No but guidance is available
What is the duration of B.Tech course?,It is a 4-year course
Are online classes available?,Yes online classes are provided when required
How can I get my ID card?,You can collect it from the administration office
What is the dress code?,Students must follow the college dress code
Is ragging allowed in college?,No ragging is strictly prohibited
Is there an anti-ragging committee?,Yes the college has an anti-ragging committee
How can I contact faculty members?,Through email or during college hours
Are there lab facilities available?,Yes modern labs are available for students
Is attendance tracked digitally?,Yes attendance is recorded digitally
What happens if attendance is low?,Students may not be allowed in exams
Can I take leave from college?,Yes with proper permission
How do I apply for leave?,Submit an application to the department
Are medical leaves allowed?,Yes with valid medical certificate
Is there a canteen in college?,Yes a canteen is available
What are canteen timings?,Canteen is open during college hours
Is parking available?,Yes parking facility is available
Are there separate hostels for boys and girls?,Yes separate hostels are provided
What security facilities are available?,Security guards and CCTV cameras are installed
Is there a student portal?,Yes students can access information through portal
How can I reset my student portal password?,Use the forgot password option
Are online payments accepted?,Yes online fee payment is available
Can international students apply?,Yes international students can apply
Is there any orientation program?,Yes orientation is conducted for new students
Are guest lectures conducted?,Yes industry experts are invited
